signature,channel_id,channel_name,msg_id,message,cleaned_message,date,msg_link,msg_from_peer,msg_from_id,views,number_replies,number_forwards,is_forward,forward_msg_from_peer_type,forward_msg_from_peer_id,forward_msg_from_peer_name,forward_msg_date,forward_msg_date_string,forward_msg_link,is_reply,reply_to_msg_id,reply_msg_link,contains_media,media_type,has_url,url,domain,url_title,url_description,document_type,document_id,document_video_duration,document_filename,poll_id,poll_question,poll_total_voters,poll_results,contact_phone_number,contact_name,contact_userid,geo_type,lat,lng,venue_id,venue_type,venue_title,venue_address,venue_provider
msg_iteration.0.user.EAHCI.post.2156,1432982009,EAHCI,2156,"💥የሞያ ፈቃድ በቅርቡ ለምታሳድሱ💥               

#CPD_(+Online )

#ሰኔ 7 /2016 ይጀምራል❗️

# Infection Prevention(15 CEU)

2 ቀን ቀረው እንዳያመልጥዎ‼️

 ለሁሉም የጤና ባለሞያዎች በሁሉም ክልሎችና ከተሞች ላላችችሁ❗
--------------------------------------------
☎️0942404444 Tinbit
☎️0965410000 Ekram
☎️0941404444 Daye
☎️0965412222  office 
☎️0462124400  Office 
    Ethio-American CPD center & Health Consultancy.
🏃We Are Committed To Excellence In Medical Trainings❗️
-join our telegram channel 
T.me/eahci",💥የሞያ ፈቃድ በቅርቡ ለምታሳድሱ💥 #CPD_(+Online ) #ሰኔ 7 /2016 ይጀምራል❗️ # Infection Prevention(15 CEU) 2 ቀን ቀረው እንዳያመልጥዎ‼️ ለሁሉም የጤና ባለሞያዎች በሁሉም ክልሎችና ከተሞች ላላችችሁ❗ -------------------------------------------- ☎️0942404444 Tinbit ☎️0965410000 Ekram ☎️0941404444 Daye ☎️0965412222 office ☎️0462124400 Office Ethio-American CPD center & Health Consultancy. 🏃We Are Committed To Excellence In Medical Trainings❗️ -join our telegram channel T.me/eahci,2024-06-12 05:44:23+00:00,https://t.me/EAHCI/2156,,,582,1,7,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.1.user.EAHCI.post.2155,1432982009,EAHCI,2155,,,2024-06-11 17:26:32+00:00,https://t.me/EAHCI/2155,,,1648,0,4,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.2.user.EAHCI.post.2154,1432982009,EAHCI,2154,"#💥የግርዛት_ስልጠና_Addis_Ababa & nekemte
#Circumcision_Skill_Training
👉_@Addis Ababa & nekemte (Adult & Neonates with Ring )  በቀለበትና ያለቀለበት #ሰኔ 9 /2016  ይሰጣል።(15CEU CPD & Skill)
🔶🔶🔶🔶🔶🔶🔶🔶🔶🔶
👉የግርዛት ክህሎት ስልጠና (በቀለበትና ያለቀለበት - Ring /Without Ring-cut ) ስልጠና 
👉አዘጋጅ-Ethio-American  Health Consultancy & CPD Center.
👉ሰልጣኞች-GP,HO,Nurse,Midwif

   📞Ekram 0965410000

   📞0941404444  Daye

   📞 Office       0965412222

   📞Tinbit       0942404444
   📞 Office       0462124400  

👉ማስታወሻ :-የሰልጣኞች ቁጥር 12 ብቻ መሆኑን እየገለፅን ቀድመው  የተመዘገቡ ብቻ የሚስተናገዱ መሆኑን እናሳውቃለን።
👉Circumcision is our Patented & Accredited Course !
:-t.me/eahci","#💥የግርዛት_ስልጠና_Addis_Ababa & nekemte #Circumcision_Skill_Training 👉_@Addis Ababa & nekemte (Adult & Neonates with Ring ) በቀለበትና ያለቀለበት #ሰኔ 9 /2016 ይሰጣል።(15CEU CPD & Skill) 🔶🔶🔶🔶🔶🔶🔶🔶🔶🔶 👉የግርዛት ክህሎት ስልጠና (በቀለበትና ያለቀለበት - Ring /Without Ring-cut ) ስልጠና 👉አዘጋጅ-Ethio-American Health Consultancy & CPD Center. 👉ሰልጣኞች-GP,HO,Nurse,Midwif 📞Ekram 0965410000 📞0941404444 Daye 📞 Office 0965412222 📞Tinbit 0942404444 📞 Office 0462124400 👉ማስታወሻ :-የሰልጣኞች ቁጥር 12 ብቻ መሆኑን እየገለፅን ቀድመው የተመዘገቡ ብቻ የሚስተናገዱ መሆኑን እናሳውቃለን። 👉Circumcision is our Patented & Accredited Course ! :-t.me/eahci",2024-06-11 17:26:32+00:00,https://t.me/EAHCI/2154,,,1500,2,4,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.3.user.EAHCI.post.2152,1432982009,EAHCI,2152,"#💥የግርዛት_ስልጠና_Addis_Ababa
#Circumcision_Skill_Training
👉@Addis Ababa & nekemte (Adult & Neonates with Ring )  በቀለበትና ያለቀለበት #ሰኔ 9 /2016  ይሰጣል።(15CEU CPD & Skill)
🔶🔶🔶🔶🔶🔶🔶🔶🔶🔶
👉የግርዛት ክህሎት ስልጠና (በቀለበትና ያለቀለበት - Ring /Without Ring-cut ) ስልጠና 
👉አዘጋጅ-Ethio-American  Health Consultancy & CPD Center.
👉ሰልጣኞች-GP,HO,Nurse,Midwif

   📞Ekram 0965410000

   📞0941404444  Daye

   📞 Office       0965412222

   📞Tinbit       0942404444
   📞 Office       0462124400  

👉ማስታወሻ :-የሰልጣኞች ቁጥር 12 ብቻ መሆኑን እየገለፅን ቀድመው  የተመዘገቡ ብቻ የሚስተናገዱ መሆኑን እናሳውቃለን።
👉Circumcision is our Patented & Accredited Course !
:-t.me/eahci","#💥የግርዛት_ስልጠና_Addis_Ababa #Circumcision_Skill_Training 👉@Addis Ababa & nekemte (Adult & Neonates with Ring ) በቀለበትና ያለቀለበት #ሰኔ 9 /2016 ይሰጣል።(15CEU CPD & Skill) 🔶🔶🔶🔶🔶🔶🔶🔶🔶🔶 👉የግርዛት ክህሎት ስልጠና (በቀለበትና ያለቀለበት - Ring /Without Ring-cut ) ስልጠና 👉አዘጋጅ-Ethio-American Health Consultancy & CPD Center. 👉ሰልጣኞች-GP,HO,Nurse,Midwif 📞Ekram 0965410000 📞0941404444 Daye 📞 Office 0965412222 📞Tinbit 0942404444 📞 Office 0462124400 👉ማስታወሻ :-የሰልጣኞች ቁጥር 12 ብቻ መሆኑን እየገለፅን ቀድመው የተመዘገቡ ብቻ የሚስተናገዱ መሆኑን እናሳውቃለን። 👉Circumcision is our Patented & Accredited Course ! :-t.me/eahci",2024-06-10 14:41:34+00:00,https://t.me/EAHCI/2152,,,9038,0,9,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.4.user.EAHCI.post.2151,1432982009,EAHCI,2151,"#💥የግርዛት_ስልጠና_Addis_Ababa
#Circumcision_Skill_Training_@Addis Ababa(Adult & Neonates with Ring )  በቀለበትና ያለቀለበት #ሰኔ 9 /2016  ይሰጣል።(15CEU CPD & Skill)
🔶🔶🔶🔶🔶🔶🔶🔶🔶🔶
👉የግርዛት ክህሎት ስልጠና (በቀለበትና ያለቀለበት - Ring /Without Ring-cut ) ስልጠና 
👉አዘጋጅ-Ethio-American  Health Consultancy & CPD Center.
👉ሰልጣኞች-GP,HO,Nurse,Midwif

   📞Ekram 0965410000

   📞0941404444  Daye

   📞 Office       0965412222

   📞Tinbit       0942404444
   📞 Office       0462124400  

👉ማስታወሻ :-የሰልጣኞች ቁጥር 12 ብቻ መሆኑን እየገለፅን ቀድመው  የተመዘገቡ ብቻ የሚስተናገዱ መሆኑን እናሳውቃለን።
👉Circumcision is our Patented & Accredited Course !
:-t.me/eahci","#💥የግርዛት_ስልጠና_Addis_Ababa #Circumcision_Skill_Training_@Addis Ababa(Adult & Neonates with Ring ) በቀለበትና ያለቀለበት #ሰኔ 9 /2016 ይሰጣል።(15CEU CPD & Skill) 🔶🔶🔶🔶🔶🔶🔶🔶🔶🔶 👉የግርዛት ክህሎት ስልጠና (በቀለበትና ያለቀለበት - Ring /Without Ring-cut ) ስልጠና 👉አዘጋጅ-Ethio-American Health Consultancy & CPD Center. 👉ሰልጣኞች-GP,HO,Nurse,Midwif 📞Ekram 0965410000 📞0941404444 Daye 📞 Office 0965412222 📞Tinbit 0942404444 📞 Office 0462124400 👉ማስታወሻ :-የሰልጣኞች ቁጥር 12 ብቻ መሆኑን እየገለፅን ቀድመው የተመዘገቡ ብቻ የሚስተናገዱ መሆኑን እናሳውቃለን። 👉Circumcision is our Patented & Accredited Course ! :-t.me/eahci",2024-06-10 14:41:34+00:00,https://t.me/EAHCI/2151,,,8901,8,9,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.5.user.EAHCI.post.2150,1432982009,EAHCI,2150,"#💥
#CPD_(+Online )
#ሰኔ 6 /2016 ይጀምራል(15 CEU)

-Infection Prevention(15 CEU)

⭐️እንዳያመልጥዎ❗!! ለሁሉም ጤና ባለሞያዎች በሁሉም ክልሎችና ከተሞች ላላችችሁ❗
--------------------------------------------
📳0942404444 Tinbit
📳0941404444 Daye
📱0965410000 Ekram
📳0965412222  office 
📳0462124400
    Ethio-American CPD center & Health Consultancy.
🏃We Are Committed To Excellence In Medical Trainings ❗
-join our telegram channel 
T.me/eahci",#💥 #CPD_(+Online ) #ሰኔ 6 /2016 ይጀምራል(15 CEU) -Infection Prevention(15 CEU) ⭐️እንዳያመልጥዎ❗!! ለሁሉም ጤና ባለሞያዎች በሁሉም ክልሎችና ከተሞች ላላችችሁ❗ -------------------------------------------- 📳0942404444 Tinbit 📳0941404444 Daye 📱0965410000 Ekram 📳0965412222 office 📳0462124400 Ethio-American CPD center & Health Consultancy. 🏃We Are Committed To Excellence In Medical Trainings ❗ -join our telegram channel T.me/eahci,2024-06-10 14:41:00+00:00,https://t.me/EAHCI/2150,,,6560,0,6,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.6.user.EAHCI.post.2149,1432982009,EAHCI,2149,"💥ዛሬ ይጀምራል💥#የሞያ_ፈቃድ_በቅርቡ_ለምታሳድሱ(#ሰኞ_ይጀምራል )
✔️#Title_Integrated Emergency Medicine 

#ሰኔ 3 /2016 ጀምሮ  ይሰጣል።
#A.A_Oromia_Amhara_AA_Harari_SNNPR_Sidama_ላላችሁ።
--------------------------------------------
📞0942404444 Tinbit
📞 0965410000 Ekram
📞0941404444  daye
📞0965412222  Office
📞0462124400  Office 

    🚩Organized By-(Ethio-American CPD center & Health Consultancy.)

🏃We Are Committed To Excellence In Medical Trainings ❗

-join our telegram channel 
T.me/eahci",💥ዛሬ ይጀምራል💥#የሞያ_ፈቃድ_በቅርቡ_ለምታሳድሱ(#ሰኞ_ይጀምራል ) ✔️#Title_Integrated Emergency Medicine #ሰኔ 3 /2016 ጀምሮ ይሰጣል። #A.A_Oromia_Amhara_AA_Harari_SNNPR_Sidama_ላላችሁ። -------------------------------------------- 📞0942404444 Tinbit 📞 0965410000 Ekram 📞0941404444 daye 📞0965412222 Office 📞0462124400 Office 🚩Organized By-(Ethio-American CPD center & Health Consultancy.) 🏃We Are Committed To Excellence In Medical Trainings ❗ -join our telegram channel T.me/eahci,2024-06-10 10:15:33+00:00,https://t.me/EAHCI/2149,,,1022,0,1,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.8.user.EAHCI.post.2147,1432982009,EAHCI,2147,,,2024-06-09 07:14:49+00:00,https://t.me/EAHCI/2147,,,14346,0,16,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.9.user.EAHCI.post.2146,1432982009,EAHCI,2146,"#Wolaita_Sodo_Ultrasound_Training-
👉ሰኔ 9/2016 ጀምሮ ለ 1 ሳምንት ይሰጣል ።(ከክህሎቱ ባሻገር የ15CEU CPD Certificate  እንሰጣለን።)   
👉እርስዎ ፈጥነው ይመዝገቡ !!#Ethio_American_Medical_Training_Center(#CPD)
---------------------------------------------
⏩ሰልጣኞች-Medical Doctors , Medical Rad.Technologists , HO, Bsc ,& Msc Midwifery.
⏩አሰልጣኞች-Rad & OBGYN specialists .
🚩የስልጠና ቦታ-1. በተመረጡ ሆስፒታሎች
✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
Call & Register
   📞0965410000 Ekram
   ☎️0965412222
   ☎️0914711558  dessie
   ☎️0941404444
   ☎️0942404444
   ☎️ 0941038774 Office    
   ☎️0462124400 Office    
🏃For more info .follow us on telegram :-
t.me/eahci","#Wolaita_Sodo_Ultrasound_Training- 👉ሰኔ 9/2016 ጀምሮ ለ 1 ሳምንት ይሰጣል ።(ከክህሎቱ ባሻገር የ15CEU CPD Certificate እንሰጣለን።) 👉እርስዎ ፈጥነው ይመዝገቡ !!#Ethio_American_Medical_Training_Center(#CPD) --------------------------------------------- ⏩ሰልጣኞች-Medical Doctors , Medical Rad.Technologists , HO, Bsc ,& Msc Midwifery. ⏩አሰልጣኞች-Rad & OBGYN specialists . 🚩የስልጠና ቦታ-1. በተመረጡ ሆስፒታሎች ✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals . Call & Register 📞0965410000 Ekram ☎️0965412222 ☎️0914711558 dessie ☎️0941404444 ☎️0942404444 ☎️ 0941038774 Office ☎️0462124400 Office 🏃For more info .follow us on telegram :- t.me/eahci",2024-06-09 07:14:49+00:00,https://t.me/EAHCI/2146,,,13895,7,17,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.10.user.EAHCI.post.2145,1432982009,EAHCI,2145,"💥#የሞያ_ፈቃድ_በቅርቡ_ለምታሳድሱ(#ሰኞ_ይጀምራል )
✔️#Title_Integrated Emergency Medicine 

#ሰኔ 3 /2016 ጀምሮ  ይሰጣል።
#A.A_Oromia_Amhara_AA_Harari_SNNPR_Sidama_ላላችሁ።
--------------------------------------------
📞0942404444 Tinbit
📞0941404444  daye
📞0965412222     
📞0965410000 
📞0462124400  Office 

    🚩Organized By-(Ethio-American CPD center & Health Consultancy.)

🏃We Are Committed To Excellence In Medical Trainings ❗

-join our telegram channel 
T.me/eahci",💥#የሞያ_ፈቃድ_በቅርቡ_ለምታሳድሱ(#ሰኞ_ይጀምራል ) ✔️#Title_Integrated Emergency Medicine #ሰኔ 3 /2016 ጀምሮ ይሰጣል። #A.A_Oromia_Amhara_AA_Harari_SNNPR_Sidama_ላላችሁ። -------------------------------------------- 📞0942404444 Tinbit 📞0941404444 daye 📞0965412222 📞0965410000 📞0462124400 Office 🚩Organized By-(Ethio-American CPD center & Health Consultancy.) 🏃We Are Committed To Excellence In Medical Trainings ❗ -join our telegram channel T.me/eahci,2024-06-08 07:54:48+00:00,https://t.me/EAHCI/2145,,,2753,0,9,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
