signature,channel_id,channel_name,msg_id,message,cleaned_message,date,msg_link,msg_from_peer,msg_from_id,views,number_replies,number_forwards,is_forward,forward_msg_from_peer_type,forward_msg_from_peer_id,forward_msg_from_peer_name,forward_msg_date,forward_msg_date_string,forward_msg_link,is_reply,reply_to_msg_id,reply_msg_link,contains_media,media_type,has_url,url,domain,url_title,url_description,document_type,document_id,document_video_duration,document_filename,poll_id,poll_question,poll_total_voters,poll_results,contact_phone_number,contact_name,contact_userid,geo_type,lat,lng,venue_id,venue_type,venue_title,venue_address,venue_provider
msg_iteration.1.user.yetenaweg.post.1082,1447066276,yetenaweg,1082,ጥያቄያችሁን አጋሩን,ጥያቄያችሁን አጋሩን,2024-06-09 15:28:37+00:00,https://t.me/yetenaweg/1082,,,831,0,0,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.2.user.yetenaweg.post.1081,1447066276,yetenaweg,1081,"https://t.me/yetenaweg?livestream

ስለ ኩላሊት ጤና ፣ ህክምና እና ዳያሊሶስ የምናደርገው ዉይይት አሁን ተጀምሯል ። ጠይቁ፣ ተማሩ ፣ ማወቅ ለሚፈልጉ ሊነኩን ማጋራት ትችላላችሁ",https://t.me/yetenaweg?livestream ስለ ኩላሊት ጤና ፣ ህክምና እና ዳያሊሶስ የምናደርገው ዉይይት አሁን ተጀምሯል ። ጠይቁ፣ ተማሩ ፣ ማወቅ ለሚፈልጉ ሊነኩን ማጋራት ትችላላችሁ,2024-06-09 15:05:18+00:00,https://t.me/yetenaweg/1081,,,845,0,1,0,,,,,,,0,,,1,MessageMediaWebPage,1,https://t.me/yetenaweg?livestream,t.me,የጤና ወግ - የጤና መረጃ,"ይህ የጤና ወግ ነው።
Yetenaweg.com 
ስለ ጤንነታችሁ ማወቅ የምትፈልጉትን መረጃ የምታገኙበት ፣ በህክምና ባለሙያዎች የሚዘጋጅ የመረጃ ምንጭ ነው።
ሁልግዜም ከሀኪማችሁ ተማከሩ፣ ተጨማሪ መረጃ ከፈለጋችሁ የኛን ድረ ገፅ ጎብኙ።
በጥናት የተደገፈ መረጃ ብቻ እናቀርባለን።

የጤና ወግ ቀጥተኛ ህክምና አይሰጥም። ሰለ መድሀኒትዎ ወይም ህክምናዎ ጥያቄ ካለዎት ሀኪምዎን እንዲያናግሩ እንመክርዎታለን።",,,,,,,,,,,,,,,,,,,
msg_iteration.4.user.yetenaweg.post.1079,1447066276,yetenaweg,1079,,,2024-06-06 07:51:31+00:00,https://t.me/yetenaweg/1079,,,1336,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.5.user.yetenaweg.post.1078,1447066276,yetenaweg,1078,"📣በዚህ እሁድ በቴሌግራም ቀጥታ ስርጭት የኩላሊት በሽታ ክትትል እና የዳያሊሲስ ህክምና በሚል ርዕስ በምናደርገው ውይይት ይቀላቀሉን።

💧የአንድ ሰው ኩላሊት ከደም ውስጥ ቆሻሻን እና  የተለያዩ ፈሳሾችን በበቂ ሁኔታ ማጣራት ሲያቅተው ዳያሊሲስ ያስፈልጋል። ይህም እንደ የስኳር በሽታ፣ የደም ግፊት እና የተለያዩ የኩላሊት በሽታዎች ባሉ ሁኔታዎች ሊከሰት ይችላል።

🗣እንግዶቻችን:
👉ዶ/ር ሃመልማል ሀ/ጊዮርጊስ  (የኩላሊት ህክምና ስፔሻሊስት፣ በቅዱስ ጳውሎስ ሚሊኒየም ሜዲካል ኮሌጅ የውስጥ ደዌ ህክምና ረዳት ፕሮፌሰር) 

👉ዶ/ር ፍፁም ጥላሁን (በቶማስ ጄፈርሰን ዩኒቨርሲቲ ሆስፒታል የኩላሊት ህክምና ስፔሻሊስት)

🗓እሁድ ሰኔ 2 2016

⏰ከምሽቱ 12 ሰዓት (በኢትዮጵያ)

💥ውይይቱን ለመቀላቀል እዚህ ይጫኑ 
👇👇👇👇👇👇👇👇
https://t.me/yetenaweg?livestream

👉የውይይት ቻናላችንን ለመቀላቀል እዚህ ይጫኑ: https://t.me/+dl4juoncBxMyODVh",📣በዚህ እሁድ በቴሌግራም ቀጥታ ስርጭት የኩላሊት በሽታ ክትትል እና የዳያሊሲስ ህክምና በሚል ርዕስ በምናደርገው ውይይት ይቀላቀሉን። 💧የአንድ ሰው ኩላሊት ከደም ውስጥ ቆሻሻን እና የተለያዩ ፈሳሾችን በበቂ ሁኔታ ማጣራት ሲያቅተው ዳያሊሲስ ያስፈልጋል። ይህም እንደ የስኳር በሽታ፣ የደም ግፊት እና የተለያዩ የኩላሊት በሽታዎች ባሉ ሁኔታዎች ሊከሰት ይችላል። 🗣እንግዶቻችን: 👉ዶ/ር ሃመልማል ሀ/ጊዮርጊስ (የኩላሊት ህክምና ስፔሻሊስት፣ በቅዱስ ጳውሎስ ሚሊኒየም ሜዲካል ኮሌጅ የውስጥ ደዌ ህክምና ረዳት ፕሮፌሰር) 👉ዶ/ር ፍፁም ጥላሁን (በቶማስ ጄፈርሰን ዩኒቨርሲቲ ሆስፒታል የኩላሊት ህክምና ስፔሻሊስት) 🗓እሁድ ሰኔ 2 2016 ⏰ከምሽቱ 12 ሰዓት (በኢትዮጵያ) 💥ውይይቱን ለመቀላቀል እዚህ ይጫኑ 👇👇👇👇👇👇👇👇 https://t.me/yetenaweg?livestream 👉የውይይት ቻናላችንን ለመቀላቀል እዚህ ይጫኑ: https://t.me/+dl4juoncBxMyODVh,2024-06-06 07:51:30+00:00,https://t.me/yetenaweg/1078,,,1331,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.6.user.yetenaweg.post.1077,1447066276,yetenaweg,1077,https://www.clubhouse.com/room/xlOVk34E?utm_medium=ch_room_xr&utm_campaign=hRlA5hD3l5eqiHBShxl5xA-1276560,https://www.clubhouse.com/room/xlOVk34E?utm_medium=ch_room_xr&utm_campaign=hRlA5hD3l5eqiHBShxl5xA-1276560,2024-06-05 20:27:37+00:00,https://t.me/yetenaweg/1077,,,1118,0,3,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.8.user.yetenaweg.post.1075,1447066276,yetenaweg,1075,,,2024-05-31 17:24:31+00:00,https://t.me/yetenaweg/1075,,,1987,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.9.user.yetenaweg.post.1074,1447066276,yetenaweg,1074,,,2024-05-31 17:24:30+00:00,https://t.me/yetenaweg/1074,,,2103,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.10.user.yetenaweg.post.1073,1447066276,yetenaweg,1073,,,2024-05-31 17:24:30+00:00,https://t.me/yetenaweg/1073,,,2053,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.11.user.yetenaweg.post.1072,1447066276,yetenaweg,1072,,,2024-05-31 17:24:29+00:00,https://t.me/yetenaweg/1072,,,1738,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.12.user.yetenaweg.post.1071,1447066276,yetenaweg,1071,"የዘንድሮ የዓለም አቀፍ ከትምባሆ ነጻ ቀን በአለም አቀፍ ደረጃ  ‹‹ህፃናትና ወጣቶችን ከትምባሆ ኢንዱስትሪ ተፅህኖ በመከላከል ከትምባሆ ነፃ ትውልድ እንፍጠር!›› በሚል መሪ ቃል እየተከበረ ይገኛል፡፡

የጤና ወግ የትምባሆ ማጨስ በጤና ላይ የሚያስከትለውን ጉዳት እየተማማርን ቀኑን እንድናስብ ይጋብዛል።

ትምባሆ ማጨስን በማቆም ጤንነታችንን መጠበቅ እና ማደስ ይቻላል።",የዘንድሮ የዓለም አቀፍ ከትምባሆ ነጻ ቀን በአለም አቀፍ ደረጃ ‹‹ህፃናትና ወጣቶችን ከትምባሆ ኢንዱስትሪ ተፅህኖ በመከላከል ከትምባሆ ነፃ ትውልድ እንፍጠር!›› በሚል መሪ ቃል እየተከበረ ይገኛል፡፡ የጤና ወግ የትምባሆ ማጨስ በጤና ላይ የሚያስከትለውን ጉዳት እየተማማርን ቀኑን እንድናስብ ይጋብዛል። ትምባሆ ማጨስን በማቆም ጤንነታችንን መጠበቅ እና ማደስ ይቻላል።,2024-05-31 17:24:29+00:00,https://t.me/yetenaweg/1071,,,1640,2,1,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.13.user.yetenaweg.post.1070,1447066276,yetenaweg,1070,"📣 ስትሮክ በሽታና ምልክቶቹ

💥ስትሮክ ማለት በድንገት የሚከሰት የአንጎል ጥቃት ሲሆን: የጭንቅላት የደም ዝውውርን በማቆም ከፍተኛ የአንጎልና የሰውነት ጉዳት ያደርሳል

    የስትሮክ በሽታ ምልክቶች ምን እንደሆኑ ያውቃሉ?

ድንገተኛ የመደንዘዝ ስሜት ወይም ድክመት፡ በተለይ በአንድ የሰውነት ክፍል ፊትን፣ ክንድ ወይም እግርን ይጎዳል።

የመናገር ችግር፡ ድንገተኛ ንግግርን የመረዳት ችግር ወይም ቃላትን መፍጠር።

የመራመድ ችግር፡ ድንገተኛ መፍዘዝ፣ ሚዛን ማጣት ወይም ቅንጅት ማጣት።

የማየት ችግር፡ በአንድ ወይም በሁለቱም አይኖች ላይ ድንገተኛ ችግር።

ከባድ ራስ ምታት ና ሌሎችም ምልክቶች።

👉የግንቦት ወር  በየአመቱ የአለም የስትሮክ ወር
በመባል ይከበራል።  

💥 ስለ ስትሮክ በሽታ  ዝርዝር መረጃዎች ለማግኘት እዚህ ይጫኑ http://yetenaweg.com

💥የቴሌግራም ቻናላችንን ለመቀላቀል እዚህ ይጫኑ",📣 ስትሮክ በሽታና ምልክቶቹ 💥ስትሮክ ማለት በድንገት የሚከሰት የአንጎል ጥቃት ሲሆን: የጭንቅላት የደም ዝውውርን በማቆም ከፍተኛ የአንጎልና የሰውነት ጉዳት ያደርሳል የስትሮክ በሽታ ምልክቶች ምን እንደሆኑ ያውቃሉ? ድንገተኛ የመደንዘዝ ስሜት ወይም ድክመት፡ በተለይ በአንድ የሰውነት ክፍል ፊትን፣ ክንድ ወይም እግርን ይጎዳል። የመናገር ችግር፡ ድንገተኛ ንግግርን የመረዳት ችግር ወይም ቃላትን መፍጠር። የመራመድ ችግር፡ ድንገተኛ መፍዘዝ፣ ሚዛን ማጣት ወይም ቅንጅት ማጣት። የማየት ችግር፡ በአንድ ወይም በሁለቱም አይኖች ላይ ድንገተኛ ችግር። ከባድ ራስ ምታት ና ሌሎችም ምልክቶች። 👉የግንቦት ወር በየአመቱ የአለም የስትሮክ ወር በመባል ይከበራል። 💥 ስለ ስትሮክ በሽታ ዝርዝር መረጃዎች ለማግኘት እዚህ ይጫኑ http://yetenaweg.com 💥የቴሌግራም ቻናላችንን ለመቀላቀል እዚህ ይጫኑ,2024-05-29 05:23:45+00:00,https://t.me/yetenaweg/1070,,,1897,0,3,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.14.user.yetenaweg.post.1069,1447066276,yetenaweg,1069,,,2024-05-28 11:40:34+00:00,https://t.me/yetenaweg/1069,,,1877,0,5,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.15.user.yetenaweg.post.1068,1447066276,yetenaweg,1068,,,2024-05-28 11:40:34+00:00,https://t.me/yetenaweg/1068,,,2042,0,5,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.16.user.yetenaweg.post.1067,1447066276,yetenaweg,1067,,,2024-05-28 11:40:33+00:00,https://t.me/yetenaweg/1067,,,1709,0,5,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.17.user.yetenaweg.post.1066,1447066276,yetenaweg,1066,"የወር አበባ ንፅህና አጠባበቅ

✍✍በየአመቱ በፈረንጆች ግንቦት 28  የወር አበባ ንፅህና ቀን በመባል ይከበራል። ቀኑ ሴቶች እና ልጃገረዶች በወር አበባቸው ወቅት የሚያጋጥሟቸውን ተግዳሮቶች ለማስታወስና ለመቅረፍ  ያገለግላል። 

👉በተለይ ዝቅተኛ ገቢ ባለባቸው ሀገራት የንፁህ ውሃ፣ የንፅህና አጠባበቅ እና የንፅህና መጠበቂያ ምርቶች ተደራሽነት ውስንነት  ለመግታት ጥረት ይደረጋል።

💥 ስለ የወር አበባ ንፅህና አጠባበቅ ዝርዝር መረጃዎች ለማግኘት እዚህ ይጫኑ 

https://shorturl.at/SVcbO

🔸ለበለጠ መረጃ:  https://yetenaweg.com/",የወር አበባ ንፅህና አጠባበቅ ✍✍በየአመቱ በፈረንጆች ግንቦት 28 የወር አበባ ንፅህና ቀን በመባል ይከበራል። ቀኑ ሴቶች እና ልጃገረዶች በወር አበባቸው ወቅት የሚያጋጥሟቸውን ተግዳሮቶች ለማስታወስና ለመቅረፍ ያገለግላል። 👉በተለይ ዝቅተኛ ገቢ ባለባቸው ሀገራት የንፁህ ውሃ፣ የንፅህና አጠባበቅ እና የንፅህና መጠበቂያ ምርቶች ተደራሽነት ውስንነት ለመግታት ጥረት ይደረጋል። 💥 ስለ የወር አበባ ንፅህና አጠባበቅ ዝርዝር መረጃዎች ለማግኘት እዚህ ይጫኑ https://shorturl.at/SVcbO 🔸ለበለጠ መረጃ: https://yetenaweg.com/,2024-05-28 11:40:33+00:00,https://t.me/yetenaweg/1066,,,1599,0,6,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.19.user.yetenaweg.post.1064,1447066276,yetenaweg,1064,ተጀምሯል !!,ተጀምሯል !!,2024-05-26 15:03:01+00:00,https://t.me/yetenaweg/1064,,,1930,0,1,0,,,,,,,1,1061,https://t.me/yetenaweg/1061,0,,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.21.user.yetenaweg.post.1062,1447066276,yetenaweg,1062,,,2024-05-23 05:12:25+00:00,https://t.me/yetenaweg/1062,,,3356,0,7,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
